Danny Granger,Indiana,,Tony Parker,San Antonio
Mo Williams,Cleveland,,David West,New Orleans
Chris Bosh,Toronto,,,
Jameer Nelson,Orlando,,,
,,,,
EAST,TEAM,2008,WEST,TEAM
Jason Kidd,New Jersey,,Allen Iverson,Denver
Dwyane Wade,Miami,,Kobe Bryant,Lakers
Chris Bosh,Toronto,,Tim Duncan,San Antonio
Lebron James,Cleveland,,Carmelo Anthony,Denver
Dwight Howard,Orlando,,Yao Ming,Houston
Ray Allen,Boston,,Brandon Roy,Portland
Chauncey Billups,Detroit,,Chris Paul,New Orleans
Richard Hamilton,Detroit,,Dirk Nowitzki,Dallas
Rasheed Wallace,Detroit,,Amare Stoudemire,Phoenix
Joe Johnson,Atlanta,,Steve Nash,Phoenix
Paul Pierce,Boston,,Carlos Boozer,Utah
Antawn Jamison,Washington,,David West,New Orleans
Caron Butler,Washington,,,
Kevin Garnett,Boston,,,
,,,,
EAST,TEAM,2007,WEST,TEAM
Gilbert Arenas,Washington,,Kobe Bryant,Lakers
Dwyane Wade,Miami,,Tracy McGrady,Houston
Chris Bosh,Toronto,,Kevin Garnett,Minnesota
Lebron James,Cleveland,,Dirk Nowitzki,Dallas
Shaquille O'Neal,Miami,,Tim Duncan,San Antonio
Jermaine O'Neal,Indiana,,Carmelo Anthony,Denver
Dwight Howard,Orlando,,Tony Parker,San Antonio
Joe Johnson,Atlanta,,Shawn Marion,Phoenix
Chauncey Billups,Detroit,,Ray Allen,Seattle
Vince Carter,New Jersey,,Amare Stoudemire,Phoenix
Caron Butler,Washington,,Josh Howard,Dallas
Richard Hamilton,Detroit,,Mehmet Okur,Utah
Jason Kidd,New Jersey,,Yao Ming,Houston
,,,Carlos Boozer,Utah
,,,Allen Iverson,Denver
,,,Steve Nash,Phoenix
,,,,
EAST,TEAM,2006,WEST,TEAM
Allen Iverson,Philadelphia,,Kobe Bryant,Lakers
Dwyane Wade,Miami,,Steve Nash,Phoenix
Lebron James,Cleveland,,Tim Duncan,San Antonio
Vince Carter,New Jersey,,Tracy McGrady,Houston
Shaquille O'Neal,Miami,,Yao Ming,Houston
Ben Wallace,Detroit,,Tony Parker,San Antonio
Rasheed Wallace,Detroit,,Kevin Garnett,Minnesota
Chris Bosh,Toronto,,Ray Allen,Seattle
Paul Pierce,Boston,,Dirk Nowitzki,Dallas
Chauncey Billups,Detroit,,Shawn Marion,Phoenix
Richard Hamilton,Detroit,,Elton Brand,Clippers
Gilbert Arenas,Washington,,Pau Gasol,Memphis
Jermaine O'Neal,Indiana,,,
,,,,
EAST,TEAM,2005,WEST,TEAM
Allen Iverson,Philadelphia,,Kobe Bryant,Lakers
Lebron James,Cleveland,,Tracy McGrady,Houston
Vince Carter,New Jersey,,Kevin Garnett,Minnesota
Grant Hill,Orlando,,Tim Duncan,San Antonio
Shaquille O'Neal,Miami,,Yao Ming,Houston
Dwyane Wade,Miami,,Ray Allen,Seattle
Jermaine O'Neal,Indiana,,Manu Ginobili,San Antonio
Zydrunas Ilgauskas,Cleveland,,Dirk Nowitzki,Dallas
Ben Wallace,Detroit,,Amare Stoudemire,Phoenix
Gilbert Arenas,Washington,,Steve Nash,Phoenix
Paul Pierce,Boston,,Shawn Marion,Phoenix
Antawn Jamison,Washington,,Rashard Lewis,Seattle
,,,,
EAST,TEAM,2004,WEST,TEAM
Vince Carter,Toronto,,Tim Duncan,San Antonio
Jermaine O'Neal,Indiana,,Kevin Garnett,Minnesota
Ben Wallace,Detroit,,Yao Ming,Houston
Allen Iverson,Philadelphia,,Kobe Bryant,Lakers
Tracy McGrady,Orlando,,Steve Francis,Houston
Ron Artest,Indiana,,Ray Allen,Seattle
Jamaal Magloire,New Orleans,,Shaquille O'Neal,Lakers
Jason Kidd,New Jersey,,Peja Stojakovic,Sacramento
Kenyon Martin,New Jersey,,Sam Cassell,Minnesota
Paul Pierce,Boston,,Dirk Nowitzki,Dallas
Baron Davis,New Orleans,,Brad Miller,Sacramento
Michael Redd,Milwaukee,,Andrei Kirilenko,Utah
,,,,
EAST,TEAM,2003,WEST,TEAM
Allen Iverson,Philadelphia,,Kobe Bryant,Lakers
Tracy McGrady,Orlando,,Steve Francis,Houston
Michael Jordan,Washington,,Kevin Garnett,Minnesota
Jermaine O'Neal,Indiana,,Tim Duncan,San Antonio
Ben Wallace,Detroit,,Yao Ming,Houston
Jason Kidd,New Jersey,,Shaquille O'Neal,Lakers
Vince Carter,Toronto,,Shawn Marion,Phoenix
Paul Pierce,Boston,,Steve Nash,Dallas
Brad Miller,Indiana,,Dirk Nowitzki,Dallas
Jamal Mashburn,New Orleans,,Gary Payton,Seattle
Antoine Walker,Boston,,Stephon Marbury,Phoenix
Zydrunas Ilgauskas,Cleveland,,Peja Stojakovic,Sacramento
,,,Chris Webber,Sacramento
,,,,
EAST,TEAM,2002,WEST,TEAM
Allen Iverson,Philadelphia,,Kobe Bryant,Lakers
Jason Kidd,New Jersey,,Steve Francis,Houston
Michael Jordan,Washington,,Kevin Garnett,Minnesota
Antoine Walker,Boston,,Chris Webber,Sacramento
Dikembe Mutombo,Philadelphia,,Tim Duncan,San Antonio
Ray Allen,Milwaukee,,Steve Nash,Dallas
Paul Pierce,Boston,,Dirk Nowitzki,Dallas
Tracy McGrady,Orlando,,Gary Payton,Seattle
Shareef A-Rahim,Atlanta,,Elton Brand,Clippers
Jermaine O'Neal,Indiana,,Peja Stojakovic,Sacramento
Alonzo Mourning,Miami,,Wally Szczerbiak,Minnesota
Baron Davis,Charlotte,,Shaquille O'Neal,Lakers
Vince Carter,Toronto,,,
,,,,
EAST,TEAM,2001,WEST,TEAM
Vince Carter,Toronto,,Tim Duncan,San Antonio
Anthony Mason,Miami,,Chris Webber,Sacramento
Antonio Davis,Toronto,,Kevin Garnett,Minnesota
Allen Iverson,Philadelphia,,Kobe Bryant,Lakers
Tracy McGrady,Orlando,,Jason Kidd,Phoenix
Stephon Marbury,New Jersey,,Michael Finley,Dallas
Ray Allen,Milwaukee,,Gary Payton,Seattle
Glenn Robinson,Milwaukee,,Rasheed Wallace,Portland
Allan Houston,New York,,David Robinson,San Antonio
Jerry Stackhouse,Detroit,,Antonio McDyess,Denver
Latrell Sprewell,New York,,Vlade Divac,Sacramento
Dikembe Mutombo,Atlanta,,Karl Malone,Utah
Grant Hill,Orlando,,Shaquille O'Neal,Lakers
Alonzo Mourning,Miami,,,
Theo Ratliff,Philadelphia,,,
,,,,
EAST,TEAM,2000,WEST,TEAM
Vince Carter,Toronto,,Kevin Garnett,Minnesota
Grant Hill,Detroit,,Tim Duncan,San Antonio
Alonzo Mourning,Miami,,Shaquille O'Neal,Lakers
Eddie Jones,Charlotte,,Kobe Bryant,Lakers
Allen Iverson,Philadelphia,,Jason Kidd,Phoenix
Allan Houston,New York,,Gary Payton,Seattle
Glenn Robinson,Milwaukee,,Chris Webber,Sacramento
Ray Allen,Milwaukee,,Rasheed Wallace,Portland
Dikembe Mutombo,Atlanta,,Michael Finley,Dallas
Dale Davis,Indiana,,David Robinson,San Antonio
Jerry Stackhouse,Detroit,,John Stockton,Utah
Reggie Miller,Indiana,,Karl Malone,Utah
,,,,
EAST,TEAM,1998,WEST,TEAM
Grant Hill,Detroit,,Karl Malone,Utah
Shawn Kemp,Cleveland,,Kevin Garnett,Minnesota
Dikembe Mutombo,Atlanta,,Shaquille O'Neal,Lakers
Michael Jordan,Chicago,,Kobe Bryant,Lakers
Anfernee Hardaway,Orlando,,Gary Payton,Seattle
Tim Hardaway,Miami,,Vin Baker,Seattle
Jayson Williams,New Jersey,,Eddie Jones,Lakers
Rik Smits,Indiana,,David Robinson,San Antonio
Reggie Miller,Indiana,,Mitch Richmond,Sacramento
Glen Rice,Charlotte,,Jason Kidd,Phoenix
Steve Smith,Atlanta,,Tim Duncan,San Antonio
Antoine Walker,Boston,,Nick Van Exel,Lakers
,,,,
EAST,TEAM,1997,WEST,TEAM
Scottie Pippen,Chicago,,Shawn Kemp,Seattle
Grant Hill,Detroit,,Karl Malone,Utah
Dikembe Mutombo,Atlanta,,Hakeem Olajuwon,Houston
Michael Jordan,Chicago,,Gary Payton,Seattle
Penny Hardaway,Orlando,,John Stockton,Utah
Vin Baker,Milwaukee,,Mitch Richmond,Sacramento
Terrell Brandon,Cleveland,,Tom Gugliotta,Minnesota
Chris Webber,Washington,,Latrell Sprewell,Golden State
Tim Hardaway,Miami,,Eddie Jones,Lakers
Glen Rice,Charlotte,,Kevin Garnett,Minnesota
Joe Dumars,Detroit,,Detlef Schrempf,Seattle
Christian Laettner,Atlanta,,Chris Gatling,Dallas
Alonzo Mourning,Miami,,Clyde Drexler,Houston
Patrick Ewing,New York,,Charles Barkley,Houston
,,,Shaquille O'Neal,Lakers
,,,,
EAST,TEAM,2016,WEST,TEAM
Kyle Lowry,Toronto,,Stephen Curry,Golden State
Dwyane Wade,Miami,,Russell Westbrook,Oklahoma
Lebron James,Cleveland,,Kobe Bryant,LA Lakers
Paul George,Indiana,,Kevin Durant,Oklahoma
Carmelo Anthony,New York,,Kawhi Leonard,San Antonio
John Wall,Washington,,Chris Paul,LA Clippers
Isiah Thomas,Boston,,James Harden,Houston
Jimmy Butler,Chicago,,Klay Thompson,Golden State
DeMar DeRozan,Toronto,,Draymond Green,Golden State
Paul Millsap,Atlanta,,Anthony Davis,New Orleans
Chris Bosh,Miami,,LaMarcus Aldridge,San Antonio
Andre Drummond,Detroit,,DeMarcus Cousins,Sacramento
Pau Gasol,Chicago,,,
Al Horford,Atlanta,,,
,,,,
EAST,TEAM,2015,WEST,TEAM
John Wall,Washington,,Stephen Curry,Golden State
Kyle Lowry,Toronto,,Kobe Bryant,LA Lakers
Lebron James,Cleveland,,Anthony Davis,New Orleans
Carmelo Anthony,New York,,Blake Griffin,LA Clippers
Pau Gasol,Chicago,,Marc Gasol,Memphis
Chris Bosh,Miami,,LaMarcus Aldridge,Portland
Dwyane Wade,Miami,,Tim Duncan,San Antonio
Paul Millsap,Atlanta,,James Harden,Houston
Kyrie Irving,Cleveland,,Kevin Durant,Oklahoma
Al Horford,Atlanta,,Chris Paul,LA Clippers
Jimmy Butler,Chicago,,Russell Westbrook,Oklahoma
Jeff Teague,Atlanta,,Klay Thompson,Golden State
Kyle Korver,Atlanta,,DeMarcus Cousins,Sacramento
,,,Damian Lillard,Portland
,,,Dirk Nowitzki,Dallas
